Horodateur,Q1. Êtes-vous actuellement étudiant(e) dans l'enseignement supérieur ?,Q2. En quelle année êtes-vous ?,Q3. Quel est votre genre ?,Q4. Dans quel type de commune avez-vous fait votre lycée ?,Q5. Quel est le niveau d'études le plus élevé de vos parents ?,Q6. Quel bac avez-vous obtenu ?,Q7. Quelle mention avez-vous obtenu au bac ?,Q8. Dans quelle filière êtes-vous actuellement inscrit(e) ?,Q9. Combien de fois avez-vous rencontré un conseiller d'orientation (PsyEN) au lycée ?,Q10. Qu'est-ce qui a principalement motivé vos premiers choix de formation ?,"Q11. Avez-vous utilisé une IA (ChatGPT, Gemini, Claude…) pour vous aider à choisir votre formation ?",Q12. Avez-vous utilisé une IA pour explorer des métiers ou des débouchés professionnels ?,"Q13. Avant de choisir votre formation, dans quelle mesure vous sentiez-vous bien informé(e) sur son contenu et ses débouchés professionnels ?",Q14. Dans quelle mesure les conseils reçus vous ont-ils semblé adaptés à votre profil et vos aspirations ?,"Q15. Aujourd'hui, vous sentez-vous bien préparé(e) à entrer sur le marché du travail à l'issue de votre formation ?",Q16. Avez-vous changé de formation ou de filière depuis votre entrée dans le supérieur ?,Q16.1 En quelle année vous êtes-vous réorienté(e) ?,Q16.2 Quelle est la raison principale de votre réorientation ?,Q16.3 À quel point estimez-vous que de meilleurs conseils d'orientation auraient pu éviter cette réorientation ?
18/04/2026 04:47:57,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,2,2,4,"Oui, une fois",Master 1,Inadéquation avec mes aspirations profondes,3
18/04/2026 09:53:02,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,4,3,3,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 10:24:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,4,4,4,"Oui, une fois",2025,Autre,2
18/04/2026 10:35:08,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 11:24:40,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,4,4,5,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 11:45:36,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Aucune source structurée / au hasard,Non,Non,1,1,1,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 11:59:51,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,3,2,5,"Oui, une fois",5e,Inadéquation avec mes aspirations profondes,1
18/04/2026 14:10:28,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,3,3,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 14:20:48,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,2,2,1,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 15:49:36,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,1,5,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 16:35:54,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,"Santé (médecine, pharmacie, kiné, infirmier…)",Jamais,Journées portes ouvertes / salons,Non,Non,3,3,3,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 16:53:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Economie du développement ,Jamais,Aucune source structurée / au hasard,Non,Non,3,2,3,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 16:55:14,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 16:57:53,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,3,4,"Oui, une fois",L2,Inadéquation avec mes aspirations profondes,1
18/04/2026 16:59:44,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,2,2,2,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 17:36:42,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Bien,École de commerce / management,Jamais,Famille / entourage / réseau,Non,Non,3,2,2,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 21:11:25,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Lettres / Sciences humaines / Sciences sociales,Jamais,Professeur.es,Non,Non,2,4,3,"Oui, une fois",M1,Autre,2
18/04/2026 22:19:37,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Passable / Sans mention,Sciences / Mathématiques / Informatique,Jamais,Famille / entourage / réseau,Non,Non,2,3,1,"Non, je suis toujours dans ma formation initiale",,,
18/04/2026 23:28:11,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,À l'étranger,Bac+5 et plus,Bac général,Bien,École de commerce / management,2 à 3 fois,Famille / entourage / réseau,Non,Non,4,4,4,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 08:08:37,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Droit / Science politique,1 fois,Famille / entourage / réseau,Non,Non,3,4,4,"Oui, une fois",2021,Inadéquation avec mes aspirations profondes,5
19/04/2026 10:33:48,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Autre,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Aucune source structurée / au hasard,Non,"Oui, en complément d'autres démarches",2,2,2,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 11:25:52,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Bien,"Santé (médecine, pharmacie, kiné, infirmier…)",Jamais,Journées portes ouvertes / salons,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 11:28:46,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,4,1,5,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 19:17:45,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,3,3,3,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 19:29:04,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,CAP / BEP,Bac professionnel,Bien,Sciences / Mathématiques / Informatique,Jamais,"La region des haut seine a donner un pc a chaque élèves qui avais un trouble DYS, le journal du 92 en parle peutetre vers 2015-2017",Non,"Oui, en complément d'autres démarches",1,1,3,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 19:38:21,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,École de commerce / management,1 fois,Professeur ,"Oui, en complément d'autres démarches",Non,4,4,5,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 20:27:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,École d'ingénieurs,Jamais,Famille / entourage / réseau,Non,Non,4,4,5,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 20:30:49,Non,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Baccalauréat,Bac général,Très bien / Félicitations,École d'ingénieurs,2 à 3 fois,Manuel scolaire,Non,Non,2,3,4,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 21:52:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),CAP / BEP,Bac général,Très bien / Félicitations,Lettres / Sciences humaines / Sciences sociales,Jamais,Professeurs,Non,Non,2,3,3,"Non, je suis toujours dans ma formation initiale",,,
19/04/2026 22:12:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,École de commerce / management,Jamais,"Mes goûts, mathématiques et géopolitiques ",Non,Non,1,2,3,"Oui, une fois",3,Autre,5
19/04/2026 23:54:21,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Assez bien,Droit / Science politique,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,3,2,4,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 07:43:13,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,4,2,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 10:36:02,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Lettres / Sciences humaines / Sciences sociales,1 fois,Famille / entourage / réseau,Non,Non,2,3,4,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 10:49:20,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",2,3,3,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 10:56:14,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 11:06:31,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,sciences de la vie,1 fois,Famille / entourage / réseau,Non,Non,2,1,1,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 11:07:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,École de commerce / management,1 fois,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",2,3,2,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 11:55:21,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Droit / Science politique,1 fois,Famille / entourage / réseau,Non,Non,4,3,4,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 11:55:35,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Développement agroéconomique ,Jamais,Famille / entourage / réseau,Non,Non,2,3,2,"Oui, plusieurs fois",L3 et M1,Inadéquation avec mes aspirations profondes,4
20/04/2026 12:03:23,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Bien,Sciences / Mathématiques / Informatique,Jamais,Famille / entourage / réseau,Non,Non,5,4,4,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 12:37:40,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,École d'art / design / architecture,Jamais,Famille / entourage / réseau,Non,Non,5,5,5,"Oui, une fois",Fin de la L2,Difficulté académique,2
20/04/2026 13:17:45,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Bien,"Santé (médecine, pharmacie, kiné, infirmier…)",Jamais,Journées portes ouvertes / salons,Non,Non,4,3,4,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 17:01:59,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,École de commerce / management,Jamais,Journées portes ouvertes / salons,Non,Non,3,2,4,"Non, je suis toujours dans ma formation initiale",,,
20/04/2026 18:26:46,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Enseignement (meef doc),Jamais,Famille / entourage / réseau,Non,Non,3,3,4,"Oui, une fois",Pour le master,Mauvaise connaissance de la formation avant d'y entrer,2
20/04/2026 23:24:32,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Baccalauréat,Bac général,Assez bien,École de commerce / management,1 fois,Famille / entourage / réseau,Non,Non,3,3,5,"Non, je suis toujours dans ma formation initiale",,,
21/04/2026 08:24:11,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,4,3,4,"Oui, une fois",L3,Autre,1
23/04/2026 21:26:57,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,4,4,4,"Oui, une fois",CPGE scientifique à Université via le concours BECEAS. Donc L3. C'est pas exactement une réorientation mais le métier d'actuaire est différent de celui d'ingénieur. ,Inadéquation avec mes aspirations profondes,1
28/04/2026 11:32:20,Oui,L1 / BTS 1 / BUT 1,Femme,À l'étranger,Bac+5 et plus,Bac général,Assez bien,Droit / Science politique,2 à 3 fois,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,4,3,"Oui, une fois",Après un diplôme ,Autre,3
28/04/2026 11:59:48,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Assez bien,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,4,4,4,"Oui, une fois",Après la L3 ,Autre,3
28/04/2026 12:33:04,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,École d'ingénieurs,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",4,3,2,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 12:55:14,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Aucun diplôme / Brevet,Bac général,Assez bien,Gestion de patrimoine,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",5,5,3,"Oui, plusieurs fois",2022,Inadéquation avec mes aspirations profondes,2
28/04/2026 13:00:27,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+2 / Bac+3,Bac général,Assez bien,École d'art / design / architecture,Jamais,Aucune source structurée / au hasard,Non,Non,4,4,3,"Oui, une fois",4eme,Inadéquation avec mes aspirations profondes,1
28/04/2026 13:08:39,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Bien,École de commerce / management,1 fois,Famille / entourage / réseau,Non,Non,3,3,3,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 13:46:44,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Passable / Sans mention,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,3,4,3,"Oui, plusieurs fois",Lors de mon passage de 2eme à 3 ème annee,Autre,1
28/04/2026 13:56:49,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Autre,Très bien / Félicitations,École de commerce / management,Plus de 3 fois,Aucune source structurée / au hasard,Non,Non,3,3,4,"Oui, une fois",3eme ,Inadéquation avec mes aspirations profondes,2
28/04/2026 14:36:52,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Assez bien,Économie / Gestion / Commerce,1 fois,Journées portes ouvertes / salons,Non,Non,3,5,5,"Oui, une fois",L1,Inadéquation avec mes aspirations profondes,4
28/04/2026 14:38:09,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,À l'étranger,Aucun diplôme / Brevet,Autre,Autre,Lettres / Sciences humaines / Sciences sociales,Jamais,Famille / entourage / réseau,Non,Non,3,3,3,"Oui, une fois",M1,Autre,2
28/04/2026 14:39:45,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,2,3,2,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 15:49:51,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Aucune source structurée / au hasard,Non,"Oui, en complément d'autres démarches",3,4,3,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 16:04:20,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Droit / Science politique,Jamais,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,3,2,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 16:05:59,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Bien,École d'ingénieurs,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",2,3,2,"Oui, une fois",L2,Mauvaise connaissance de la formation avant d'y entrer,4
28/04/2026 16:07:06,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Non binaire,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Médiation culturelle ,1 fois,Profs,Non,Non,2,5,2,"Oui, une fois",2023-2024,Autre,1
