Horodateur,Q1. Êtes-vous actuellement étudiant(e) dans l'enseignement supérieur ?,Q2. En quelle année êtes-vous ?,Q3. Quel est votre genre ?,Q4. Dans quel type de commune avez-vous fait votre lycée ?,Q5. Quel est le niveau d'études le plus élevé de vos parents ?,Q6. Quel bac avez-vous obtenu ?,Q7. Quelle mention avez-vous obtenu au bac ?,Q8. Dans quelle filière êtes-vous actuellement inscrit(e) ?,Q9. Combien de fois avez-vous rencontré un conseiller d'orientation (PsyEN) au lycée ?,Q10. Qu'est-ce qui a principalement motivé vos premiers choix de formation ?,"Q11. Avez-vous utilisé une IA (ChatGPT, Gemini, Claude…) pour vous aider à choisir votre formation ?",Q12. Avez-vous utilisé une IA pour explorer des métiers ou des débouchés professionnels ?,"Q13. Avant de choisir votre formation, dans quelle mesure vous sentiez-vous bien informé(e) sur son contenu et ses débouchés professionnels ?",Q14. Dans quelle mesure les conseils reçus vous ont-ils semblé adaptés à votre profil et vos aspirations ?,"Q15. Aujourd'hui, vous sentez-vous bien préparé(e) à entrer sur le marché du travail à l'issue de votre formation ?",Q16. Avez-vous changé de formation ou de filière depuis votre entrée dans le supérieur ?,Q16.1 En quelle année vous êtes-vous réorienté(e) ?,Q16.2 Quelle est la raison principale de votre réorientation ?,Q16.3 À quel point estimez-vous que de meilleurs conseils d'orientation auraient pu éviter cette réorientation ?
28/04/2026 16:26:17,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),CAP / BEP,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Journées portes ouvertes / salons,Non,Non,3,3,3,"Oui, une fois",L1,Mauvaise connaissance de la formation avant d'y entrer,4
28/04/2026 17:24:21,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Aucun diplôme / Brevet,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Aucune source structurée / au hasard,Non,"Oui, en complément d'autres démarches",3,3,2,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 18:28:18,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,École d'ingénieurs,Jamais,Famille / entourage / réseau,Non,Non,5,5,5,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 18:50:53,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Bien,École de commerce / management,1 fois,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",5,4,3,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 20:40:01,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,3,4,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 23:31:00,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac technologique,Bien,École de commerce / management,Jamais,Journées portes ouvertes / salons,Non,"Oui, en complément d'autres démarches",3,4,4,"Non, je suis toujours dans ma formation initiale",,,
28/04/2026 23:46:32,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Bien,Lettres / Sciences humaines / Sciences sociales,1 fois,Famille / entourage / réseau,Non,Non,3,4,3,"Oui, une fois",L1,Inadéquation avec mes aspirations profondes,3
29/04/2026 02:12:43,Oui,L1 / BTS 1 / BUT 1,Femme,Paris intramuros,Bac+5 et plus,Bac général,Bien,Lettres / Sciences humaines / Sciences sociales,2 à 3 fois,"Famille / entourage / réseau.   Oh et au fait, si tu cherches encore des répondants, surveyswap.io m'a beaucoup aidé quand j'ai fait ma propre enquête l'année dernière. Tu remplis des enquêtes d'autres personnes et tu obtiens des répondants gratuitement en retour. Peut-être que ça t'aidera aussi. En tout cas, bonne chance pour ton étude!","Oui, en complément d'autres démarches",Non,4,3,2,"Non, je suis toujours dans ma formation initiale",,,
29/04/2026 12:15:08,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Assez bien,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,3,3,5,"Non, je suis toujours dans ma formation initiale",,,
29/04/2026 12:32:59,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Économie / Gestion / Commerce,1 fois,Passion depuis petit,Non,"Oui, en complément d'autres démarches",4,3,5,"Oui, plusieurs fois",2020,Inadéquation avec mes aspirations profondes,2
29/04/2026 14:00:08,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Préfère ne pas répondre,Bac général,Très bien / Félicitations,Droit / Science politique,Jamais,Aucune source structurée / au hasard,Non,Non,5,4,5,"Oui, une fois","Classe préparatoire, entrée en grande école d’ingénieur puis, en parallèle de mon diplôme d’ingénieur aujourd’hui obtenu, études de droit.",Inadéquation avec mes aspirations profondes,3
29/04/2026 14:43:15,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Assez bien,École de commerce / management,Jamais,Famille / entourage / réseau,Non,Non,2,3,4,"Non, je suis toujours dans ma formation initiale",,,
30/04/2026 16:15:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,4,3,"Non, je suis toujours dans ma formation initiale",,,
01/05/2026 00:53:35,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,2 à 3 fois,Famille / entourage / réseau,Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",,,
01/05/2026 19:08:05,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Aucun diplôme / Brevet,Bac général,Bien,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,3,4,5,"Non, je suis toujours dans ma formation initiale",,,
02/05/2026 11:49:22,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Commune rurale (moins de 2 000 hab.),Bac+5 et plus,Bac professionnel,Très bien / Félicitations,École de commerce / management,Jamais,Journées portes ouvertes / salons,Non,"Oui, de manière exclusive",3,4,2,"Non, je suis toujours dans ma formation initiale",,,
02/05/2026 12:51:15,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,3,4,2,"Oui, une fois",Licence 1,Difficulté académique,5
02/05/2026 13:19:41,Oui,L1 / BTS 1 / BUT 1,Homme,À l'étranger,CAP / BEP,Bac technologique,Assez bien,Diplôme pro en Infographie ,Jamais,Des projets perso qui dépendent de ce savoir-faire ,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,4,3,"Oui, une fois",Fin 2024,Autre,2
02/05/2026 21:19:25,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),CAP / BEP,Bac général,Bien,Lettres / Sciences humaines / Sciences sociales,Jamais,Aucune source structurée / au hasard,Non,Non,1,1,3,"Non, je suis toujours dans ma formation initiale",,,
03/05/2026 14:36:04,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Commune rurale (moins de 2 000 hab.),Bac+2 / Bac+3,Bac général,Bien,Économie / Gestion / Commerce,Jamais,"Intelligence artificielle (ChatGPT, Gemini…)","Oui, de manière exclusive","Oui, de manière exclusive",3,3,3,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 11:48:36,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,À l'étranger,Bac+5 et plus,Bac général,Bien,Droit / Science politique,2 à 3 fois,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",4,4,4,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 13:20:50,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Bien,Lettres / Sciences humaines / Sciences sociales,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,3,3,"Oui, une fois",L1,Inadéquation avec mes aspirations profondes,2
04/05/2026 13:42:06,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),CAP / BEP,Bac général,Bien,Économie / Gestion / Commerce,2 à 3 fois,Conseiller d'orientation (PsyEN),Non,Non,4,3,4,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 13:43:28,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,À l'étranger,Bac+2 / Bac+3,Bac général,Bien,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,2,2,3,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 13:46:14,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,École de commerce / management,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 13:46:58,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),CAP / BEP,Bac technologique,Assez bien,École de commerce / management,Jamais,Famille / entourage / réseau,Non,Non,4,4,1,"Oui, une fois",2021,Difficulté académique,3
04/05/2026 13:51:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,École de commerce / management,Jamais,Aucune source structurée / au hasard,Non,Non,1,2,1,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 14:07:06,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,À l'étranger,Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,3,4,3,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 14:34:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,À l'étranger,Bac+5 et plus,Bac général,Passable / Sans mention,École de commerce / management,Jamais,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,4,5,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 14:38:23,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Professeurs du lycée ,Non,Non,4,5,4,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 15:18:29,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,École de commerce / management,Jamais,Aucune source structurée / au hasard,Non,Non,1,1,1,"Oui, plusieurs fois",licence et master,Autre,5
04/05/2026 15:23:25,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Baccalauréat,Bac général,Bien,École de commerce / management,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,3,3,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 16:40:03,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Bien,Communication ,2 à 3 fois,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",5,4,4,"Oui, une fois",Première année de master,Inadéquation avec mes aspirations profondes,2
04/05/2026 17:19:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Commune rurale (moins de 2 000 hab.),Baccalauréat,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,1 fois,Aucune source structurée / au hasard,Non,"Oui, de manière exclusive",3,3,2,"Oui, une fois",M1,Difficulté académique,2
04/05/2026 20:29:53,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Bien,École de commerce / management,2 à 3 fois,Journées portes ouvertes / salons,Non,Non,4,4,4,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 21:25:01,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,École de commerce / management,2 à 3 fois,Journées portes ouvertes / salons,Non,Non,1,1,1,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 23:05:46,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Bien,École de commerce / management,1 fois,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,3,3,"Non, je suis toujours dans ma formation initiale",,,
04/05/2026 23:19:07,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+2 / Bac+3,Bac général,Bien,École de commerce / management,Jamais,Aucune source structurée / au hasard,Non,Non,3,2,3,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 08:34:26,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Passable / Sans mention,École de commerce / management,Jamais,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, de manière exclusive",4,4,4,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 08:45:06,Oui,L1 / BTS 1 / BUT 1,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,"Santé (médecine, pharmacie, kiné, infirmier…)",2 à 3 fois,Aucune source structurée / au hasard,Non,Non,3,3,5,"Oui, une fois",3ème année ,Difficulté académique,2
05/05/2026 09:06:49,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Assez bien,École de commerce / management,Jamais,Journées portes ouvertes / salons,Non,Non,2,2,4,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 09:19:52,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Assez bien,École d'ingénieurs,Jamais,Famille / entourage / réseau,Non,Non,3,4,5,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 09:43:59,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Bien,Droit / Science politique,1 fois,Famille / entourage / réseau,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 10:02:06,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Assez bien,Histoire,2 à 3 fois,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",2,3,3,"Oui, une fois",2021,Inadéquation avec mes aspirations profondes,2
05/05/2026 10:25:33,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Droit / Science politique,Jamais,Famille / entourage / réseau,Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 10:52:32,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,en fin de master en droit des affaires et fin de master en management (les deux en même temps),Jamais,Famille / entourage / réseau,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 12:37:09,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Assez bien,"Santé (médecine, pharmacie, kiné, infirmier…)",Jamais,Famille / entourage / réseau,Non,Non,4,5,3,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 13:00:01,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Assez bien,Droit / Science politique,Jamais,Famille / entourage / réseau,Non,Non,4,4,4,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 14:43:06,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Petite ville (2 000 – 20 000 hab.),Aucun diplôme / Brevet,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Journées portes ouvertes / salons,Non,Non,2,3,4,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 18:03:51,Oui,L1 / BTS 1 / BUT 1,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Passable / Sans mention,IUT / BUT,Jamais,Famille / entourage / réseau,Non,Non,2,4,4,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 21:12:07,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,À l'étranger,Bac+5 et plus,Bac général,Passable / Sans mention,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,3,3,3,"Non, je suis toujours dans ma formation initiale",,,
05/05/2026 22:28:40,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Assez bien,Droit / Science politique,1 fois,Famille / entourage / réseau,Non,Non,2,1,1,"Oui, une fois",3ème,Raison personnelle / familiale,5
05/05/2026 22:47:00,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+2 / Bac+3,Bac général,Bien,Économie / Gestion / Commerce,2 à 3 fois,Journées portes ouvertes / salons,Non,Non,3,3,2,"Non, je suis toujours dans ma formation initiale",,,
06/05/2026 11:18:56,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Baccalauréat,Bac général,Bien,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",4,3,4,"Non, je suis toujours dans ma formation initiale",,,
06/05/2026 15:16:33,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Assez bien,École de commerce / management,1 fois,"Intelligence artificielle (ChatGPT, Gemini…)","Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",2,3,2,"Oui, plusieurs fois",2023,Autre,1
07/05/2026 12:59:07,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,École de commerce / management,1 fois,Famille / entourage / réseau,Non,Non,3,3,4,"Oui, plusieurs fois",4,Inadéquation avec mes aspirations profondes,5
07/05/2026 15:36:16,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,5,5,4,"Oui, une fois",3,Inadéquation avec mes aspirations profondes,2
07/05/2026 22:30:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,À l'étranger,Bac+5 et plus,Bac général,Assez bien,École de commerce / management,1 fois,Aucune source structurée / au hasard,Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",,,
08/05/2026 12:10:09,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Aucun diplôme / Brevet,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,2 à 3 fois,"Internet (hors IA) — forums, sites officiels",Non,Non,3,4,1,"Non, je suis toujours dans ma formation initiale",,,
08/05/2026 19:14:40,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Passable / Sans mention,École de commerce / management,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,3,4,"Oui, une fois",première année,Inadéquation avec mes aspirations profondes,5
08/05/2026 19:37:16,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac technologique,Bien,Économie / Gestion / Commerce,Jamais,"Mes professeurs, mes spécialisations au fur et à mesure de mon parcours scolaire",Non,Non,4,4,4,"Non, je suis toujours dans ma formation initiale",,,
09/05/2026 14:32:48,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,1 fois,Famille / entourage / réseau,Non,Non,2,3,4,"Non, je suis toujours dans ma formation initiale",,,