horodateur,statut_etudiant,annee_etudes,genre,type_commune,niveau_parents,type_bac,mention_bac,filiere,frequence_psyen,motivation_brut,ia_formation,ia_metiers,info_percue,conseil_adapte,preparation_emploi,reoriente,reorientation_brut,raison_reorientation,regret_reorientation,motivation_descriptive,motivation_regression,reorientation_annee,reorientation_niveau,reoriente_bin,ia_formation_bin,ia_metiers_bin,jeune_actif
17/04/2026 15:33:07,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,1 fois,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,3,3,"Oui, une fois",2021,Inadéquation avec mes aspirations profondes,4,Famille / entourage / réseau,Famille / entourage / réseau,2021,NA,1,1,1,0
17/04/2026 15:34:57,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Droit / Science politique,Jamais,Famille / entourage / réseau,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",Pas le cas,Autre,3,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:36:04,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,4,4,4,"Non, je suis toujours dans ma formation initiale",Non,Autre,3,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:37:53,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,À l'étranger,Bac+5 et plus,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,Jamais,Famille / entourage / réseau,Non,Non,4,3,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:37:58,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,0,0
17/04/2026 15:38:50,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,CAP / BEP,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,3,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:40:37,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,3,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 15:44:26,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),CAP / BEP,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,2,2,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,NA,0,0,0,0
17/04/2026 15:45:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,2 à 3 fois,Famille / entourage / réseau,Non,Non,2,2,4,"Oui, plusieurs fois",L1 L3,Difficulté académique,2,Famille / entourage / réseau,Famille / entourage / réseau,NA,L1,1,0,0,0
17/04/2026 15:47:32,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Bien,École de commerce / management,Jamais,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,3,4,"Oui, une fois",Après la L3,Inadéquation avec mes aspirations profondes,2,Famille / entourage / réseau,Famille / entourage / réseau,NA,L3,1,1,1,0
17/04/2026 15:48:36,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,4,4,4,"Oui, une fois",2021,Raison personnelle / familiale,4,Famille / entourage / réseau,Famille / entourage / réseau,2021,NA,1,0,0,0
17/04/2026 15:52:23,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Bien,Droit / Science politique,1 fois,Ma motivation personnelle,Non,Non,4,2,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Motivation personnelle / passion,Autre,NA,NA,0,0,0,0
17/04/2026 15:53:22,Non,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,3,3,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,1
17/04/2026 15:58:01,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,3,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,0,0
17/04/2026 16:00:02,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,3,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,1,0
17/04/2026 16:00:36,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Petite ville (2 000 – 20 000 hab.),Aucun diplôme / Brevet,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,"Oui, de manière exclusive","Oui, en complément d'autres démarches",4,4,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,1,1,0
17/04/2026 16:00:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,2,3,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 16:01:16,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,2,3,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 16:04:04,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,Jamais,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",4,4,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,1,1,0
17/04/2026 16:07:34,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Assez bien,École de commerce / management,Jamais,Famille / entourage / réseau,Non,Non,3,4,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 16:07:39,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Commune rurale (moins de 2 000 hab.),Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",5,3,4,"Oui, une fois",2025,Autre,1,Famille / entourage / réseau,Famille / entourage / réseau,2025,NA,1,0,1,0
17/04/2026 16:08:54,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+2 / Bac+3,Bac général,Bien,Sciences / Mathématiques / Informatique,2 à 3 fois,"Internet (hors IA) — forums, sites officiels","Oui, en complément d'autres démarches","Oui, de manière exclusive",3,4,2,"Oui, une fois",2021,Difficulté académique,3,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",2021,NA,1,1,1,0
17/04/2026 16:14:24,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,École d'ingénieurs,2 à 3 fois,Famille / entourage / réseau,Non,Non,4,4,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 16:22:29,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),CAP / BEP,Bac professionnel,Bien,Économie / Gestion / Commerce,2 à 3 fois,Aucune source structurée / au hasard,Non,"Oui, en complément d'autres démarches",4,2,2,"Oui, une fois",2021,Inadéquation avec mes aspirations profondes,1,Aucune source structurée / au hasard,Aucune source structurée / au hasard,2021,NA,1,0,1,0
17/04/2026 16:26:25,Oui,L1 / BTS 1 / BUT 1,Femme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,2 à 3 fois,"Internet (hors IA) — forums, sites officiels","Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",5,5,5,"Oui, une fois",S2 de L1,Inadéquation avec mes aspirations profondes,1,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,L1,1,1,1,0
17/04/2026 16:28:36,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Lettres / Sciences humaines / Sciences sociales,Jamais,famille entourage et professeurs du lycée,Non,Non,3,4,3,"Oui, une fois",M1,Inadéquation avec mes aspirations profondes,2,Professeurs du lycée,Autre,NA,M1,1,0,0,0
17/04/2026 16:30:34,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Bien,Sciences / Mathématiques / Informatique,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",2,4,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,NA,0,0,1,0
17/04/2026 16:32:38,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Autre,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Pas accepté ailleurs,Non,"Oui, en complément d'autres démarches",1,2,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,NA,0,0,1,0
17/04/2026 16:47:21,Non,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Passable / Sans mention,NA,1 fois,Aucune source structurée / au hasard,Non,Non,1,1,1,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,NA,0,0,0,1
17/04/2026 16:48:07,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Sciences / Mathématiques / Informatique,Jamais,J’aime l’informatique,Non,Non,5,5,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Motivation personnelle / passion,Autre,NA,NA,0,0,0,0
17/04/2026 16:49:34,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Droit / Science politique,Jamais,Aucune source structurée / au hasard,Non,Non,4,3,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,NA,0,0,0,0
17/04/2026 16:51:03,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac professionnel,Bien,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,5,5,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 16:51:03,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 16:53:26,Non,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Passable / Sans mention,Lettres / Sciences humaines / Sciences sociales,1 fois,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,3,2,"Oui, une fois",2023,Mauvaise connaissance de la formation avant d'y entrer,2,Famille / entourage / réseau,Famille / entourage / réseau,2023,NA,1,1,1,1
17/04/2026 17:11:49,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Lettres / Sciences humaines / Sciences sociales,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",4,4,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,1,0
17/04/2026 17:17:56,Non,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,École d'art / design / architecture,Jamais,Famille / entourage / réseau,Non,Non,2,2,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,1
17/04/2026 17:18:09,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,1 fois,Journées portes ouvertes / salons,Non,"Oui, en complément d'autres démarches",3,3,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,1,0
17/04/2026 17:19:13,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,3,3,2,"Oui, une fois",Licence 3,Inadéquation avec mes aspirations profondes,5,Famille / entourage / réseau,Famille / entourage / réseau,NA,L3,1,0,0,0
17/04/2026 17:24:22,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),CAP / BEP,Bac général,Assez bien,Lettres / Sciences humaines / Sciences sociales,1 fois,Famille / entourage / réseau,Non,Non,4,5,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
17/04/2026 18:06:30,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Conseiller d'orientation (PsyEN),Non,"Oui, en complément d'autres démarches",3,4,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Conseiller d'orientation (PsyEN),Conseiller d'orientation (PsyEN),NA,NA,0,0,1,0
17/04/2026 18:40:17,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,4,4,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,0,0
17/04/2026 19:12:54,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",4,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,1,0
17/04/2026 19:25:13,Oui,L1 / BTS 1 / BUT 1,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,"Santé (médecine, pharmacie, kiné, infirmier…)",2 à 3 fois,Aucune source structurée / au hasard,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",4,3,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,NA,0,1,1,0
